name	id	V1	V2
THE BOYS	25638718	2011	2
The Day We Find Love	22533296	2015	1
The Forgotten	22966361	2012	31
The GIFT	31108972	2015	40
THE LAZY SONG	25639015	2011	72
The Monster (feat. Rihanna)	27902187	2013	12
THIS IS LOVE	29019313	2014	19
This Summer's Gonna Hurt Like a Motherfucker - Explicit	32102070	2015	17
TiK ToK	2918954	2010	52
Touch Love	27646960	2014	23
Trap	26484764	2013	71
Trouble Maker	22843672	2012	63
Twinkle	5376238	2012	21
U U U	25638923	2011	46
Uptown Funk	29722263	2015	31
Video Games - Album Version Remastered	16593582	2012	45
View	32102385	2015	69
Virgin Road(Original mix)	574588	2010	11
Waka Waka (This Time For Africa) (Feat. Freshlyground)	28184565	2010	14
We Can't Stop	27804045	2013	75
We Found Love	21562960	2012	70
We Own It (feat. Wiz Khalifa)	26368846	2013	46
What About Now	20707687	2010	71
What Do You Got?	16850613	2010	39
What Do You Mean?	34228719	2015	14
What The Hell	25638752	2011	8
When I Was Your Man	25657229	2013	19
WHY (Keep Your Head Down)	25638884	2011	42
Wrecking Ball	27697195	2013	43
Writing's On the Wall	34922419	2015	61
You're Mine (Eternal)	28253180	2014	43
Young And Beautiful	26243686	2013	50
Your Body	25731730	2012	58
Your Eyes	769834	2012	39
YOUR LEGEND ~燃ゆる命~	32648342	2015	45
ZUTTER (GD&T.O.P)	33715026	2015	57
광화문에서(At Gwanghwamun)	29728006	2015	21
괴도(Danger)	28949600	2014	49
그여자	25639049	2011	77
내가 제일 잘 나가	25638790	2011	15
내일은 없어	27896639	2013	66
너는 나만큼(Growing Pains)	30870519	2015	26
넌 내게 반했어	5397424	2012	28
링가 링가(RINGA LINGA)	27946788	2013	14
말이야	27808413	2014	11
미인아(Bonamana)	5391574	2010	7
미친거 아니야?	29375434	2014	62
밀리언조각(A Million Pieces)	35447065	2015	74
바래	22750405	2010	34
뱅뱅뱅(BANG BANG BANG)	32408002	2015	18
삐딱하게(Crooked)	28029029	2013	44
새들처럼	25638955	2011	50
신데렐라(Cinderella)	34614052	2015	7
아름다운 밤이야	22826935	2012	68
어느 멋진 날	30148517	2015	12
여전히	5404004	2010	44
외톨이야	5370718	2010	55
이 노래를 듣고 돌아와	26562567	2013	60
좋겠어(I wish)	22750302	2012	47
중독(Overdose)	28497213	2014	17
지독하게	22750325	2012	66
첫 사랑니(Rum Pum Pum Pum)	27511866	2013	38
최고의 행운	28977540	2014	40
쿠데타(Coup D'etat)	27676677	2013	24
피노키오	29761107	2015	78
さくらガール	22797247	2010	21
