artist	name	id	year	rank	lang	nation
F.T Island	Hello Hello	25638809	2011	29	kr	kr
Avril Lavigne	Here's To Never Growing Up	26145391	2013	70	en	en
Super Junior	Hero	27710300	2013	53	jp	kr
CNBLUE	Hey You	22641991	2012	37	kr	kr
少女时代-TaeTiSeo	Holler	29378380	2014	60	kr	kr
Roy Kim	Home	29460550	2014	72	kr	
郭书瑶	Honey	237878	2010	35	ch	ch
f(x)	HOT SUMMER	25638812	2011	32	kr	
OMC	How Bizarre	5159540	2015	2	en	
BoA	Hurricane Venus	22846747	2010	65	kr	
福山雅治	I am a HERO	34274787	2015	23	jp	jp
Anne Hathaway	I Dreamed a Dream	25707042	2013	32	en	
少女时代	I GOT A BOY	26165928	2013	47	kr	kr
Carly Rae Jepsen	I Really Like You	30841076	2015	30	en	en
毕书尽	I Wanna Say	29750104	2015	76	ch	
林育群	I Will Always Love You	131600	2010	37	en	en
2PM	I'll Be Back	22768482	2010	42	kr	kr
CNBLUE	Intuition	25638803	2011	25	kr	kr
Linkin Park	Iridescent	25639052	2011	78	en	en
Lady GaGa	Judas	25638939	2011	49	en	en
蔡健雅	Just Say So	25639073	2011	80	en	ch
Bruno Mars	Just The Way You Are	25638721	2011	4	en	en
萧敬腾	Kelly	28497452	2014	10	ch	ch
Idina Menzel	Let It Go	28031119	2014	3	en	
BIGBANG	Let's not fall in love	33715027	2015	44	kr	
Westlife	Lighthouse	25638988	2011	59	en	
Far East Movement	Like A G6	25638917	2011	44	en	
Madonna	Living For Love	29809868	2015	80	en	
Adam Levine	Lost Stars	28737747	2015	37	en	
CNBLUE	LOVE	22642022	2010	61	kr	
少女时代	Love & Girls	28075462	2013	27	jp	kr
SpeXial	Love Killah	30482705	2015	65	ch	
Ellie Goulding	Love Me Like You Do (From ''Fifty Shades of Grey'')	29966565	2015	20	en	
EXO	LOVE ME RIGHT	32408433	2015	62	kr	
毕书尽	Love More	33378329	2015	42	ch	
Michael Jackson	Love Never Felt So Good	28524032	2014	76	en	en
Jason Mraz	Love Someone	28568131	2014	27	en	en
浜崎あゆみ	LOVE SONG	25639028	2011	74	jp	
BIGBANG	Love Song	25638924	2011	47	kr	
安室奈美恵	Love Story	22694496	2012	54	jp	jp
Eminem	Love The Way You Lie	1297841	2010	76	en	
林俊杰	Love U U	108154	2012	56	ch	ch
Celine Dion	Loved Me Back To Life	27678295	2013	3	en	
SHINee	Lucifer	22761932	2010	4	kr	
Super Junior	MAGIC	34690875	2015	49	kr	kr
Coldplay	Magic	28285776	2014	21	en	
Super Junior	MAMACITA(아야야)	29019308	2014	6	kr	kr
Maroon 5	Maps	28661564	2014	15	en	en
F.T Island	Memory	27747241	2013	11	kr	
Justin Timberlake	Mirrors	25729093	2013	25	en	en
Maroon 5	Misery - Acoustic	21253875	2010	19	en	en
Justin Bieber	Mistletoe	25638849	2011	37	en	
SUPER JUNIOR-D&E(东海&银赫)	MOTORCYCLE	28282501	2014	25	kr	kr
Super Junior	Mr. Simple	25638717	2011	1	kr	kr
少女时代	Mr.Mr.	28274502	2014	16	kr	kr
少女时代	MR.TAXI	25638801	2011	23	kr	kr
LYn	My Destiny	28152930	2014	9	kr	
韩庚	My Logo	101416	2010	62	ch	ch
田馥甄	My Love	25638822	2011	33	ch	ch
Justin Bieber	Never Say Never	25638978	2011	55	en	en
Eminem	Not Afraid	26714820	2010	30	en	
Christina Aguilera	Not Myself Tonight	17059370	2010	23	en	
f(x)	NU예삐오(NU ABO)	22735518	2010	50	kr	
少女时代	Oh!	27836697	2010	70	kr	kr
Usher featuring will.i.am	OMG (feat. will.i.am)	24445359	2010	40	en	
Ellie Goulding	On My Mind	34722412	2015	47	en	
Justin Bieber	One Time	18638059	2010	51	en	
Rihanna	Only Girl (In The World)	21563197	2010	9	en	
嵐	P・A・R・A・D・O・X	27867827	2013	63	jp	
少女时代	PAPARAZZI	5376224	2012	30	kr	kr
Katy Perry	Part Of Me	18981974	2012	51	en	
LMFAO	PARTY ROCK ANTHEM	25639030	2011	75	en	
Maroon 5	Payphone - Explicit Version	21253807	2012	24	en	en
One Direction	Perfect	35539156	2015	53	en	
安室奈美恵	Photogenic	32477718	2015	66	jp	jp
蔡依林	PLAY我呸	29572738	2014	1	ch	ch
Ariana Grande	Problem	28923332	2014	12	en	
王若琳	Raindrops Keep Fallin' on My Head	25638879	2011	41	en	ch
Tiger JK	Reset	31654001	2015	75	kr	
Katy Perry	Roar	27566922	2013	29	en	
Avril Lavigne	Rock N Roll	27090060	2013	59	en	
李夏怡	Rose	26230519	2013	18	kr	
Lorde	Royals	27698223	2013	42	en	
周汤豪	S.N.G	202348	2012	69	ch	
Westlife	Safe - Single Mix	20707406	2010	64	en	
Wiz Khalifa	See You Again	30953009	2015	34	en	
Super Junior	Sexy, Free & Single	22739438	2012	3	kr	kr
Beast	Shadow (그림자)	27090013	2013	8	kr	
SHINee	Sherlock.셜록(Clue+Note)	22761862	2012	53	kr	
李玉玺	SHOUT	34383476	2015	68	ch	
Adele	Skyfall	16435064	2012	9	en	en
Avril Lavigne	Smile	25638799	2011	21	en	
BIGBANG	SOBER	32922451	2015	51	kr	
Gotye	Somebody That I Used To Know - Tiësto Remix	17939855	2012	40	en	
Adele	Someone Like You	25638792	2011	16	en	en
东方神起	Something	28242411	2014	78	jp	
Justin Bieber	Sorry	36199034	2015	43	en	en
Super Junior	SPY	22739432	2012	26	kr	kr
Nicki Minaj	Starships - Album Version (Edited)	17559973	2012	61	en	en
Sam Smith	Stay With Me	28531849	2014	63	en	
One Direction	Steal My Girl	29450452	2014	52	en	
Kara	STEP	25639011	2011	71	kr	
Justin Timberlake	Suit & Tie	25799215	2013	56	en	en
萧亚轩	Super Girl爱无畏	25648031	2013	72	ch	ch
SpeXial	Super Style	25714145	2013	26	ch	
CNBLUE	Supernova	34578125	2015	24	jp	kr
Super Junior M	Swing	28310121	2014	58	ch	kr
少女时代	THE BOYS	25638718	2011	2	kr	kr
911	The Day We Find Love	22533296	2015	1	en	
Green Day	The Forgotten	22966361	2012	31	en	en
浜崎あゆみ	The GIFT	31108972	2015	40	jp	jp
Bruno Mars	THE LAZY SONG	25639015	2011	72	en	en
Eminem	The Monster (feat. Rihanna)	27902187	2013	12	en	
Super Junior	THIS IS LOVE	29019313	2014	19	kr	kr
Maroon 5	This Summer's Gonna Hurt Like a Motherfucker - Explicit	32102070	2015	17	en	en
Ke$ha	TiK ToK	2918954	2010	52	en	
尹美莱	Touch Love	27646960	2014	23	kr	
Henry	Trap	26484764	2013	71	kr	
Trouble Maker	Trouble Maker	22843672	2012	63	kr	
