"uid","Employer","JobLocation","RankorTitle","Specialty","Deadline","DatePosted","ApplicationStatus","OpenUntilFilled","JobSubLocation","lon","lat"
100,"University of Massachusetts Boston","USA","Assistant Professor ","Applied Linguistics;Language Acquisition",2015-11-15,2015-10-30,FALSE,FALSE,"Massachusetts",-71.0934,42.3591
101,"University of Massachusetts Boston","USA","Assistant Professor ","Applied Linguistics;Sociolinguistics;Language Acquisition",2015-11-15,2015-10-30,FALSE,FALSE,"Massachusetts",-71.0934,42.3591
102,"Swarthmore College","USA","Visiting Professor ","Morphology;Phonology;Semantics;Syntax ",2015-12-15,2015-10-30,TRUE,TRUE,"Pennsylvania",-90.3479013,38.6669446
103,"Swarthmore College","USA","Assistant Professor ","Computational Linguistics;Morphology;Phonology;Sociolinguistics; Syntax",2015-12-15,2015-10-30,TRUE,TRUE,"Pennsylvania",-90.3479013,38.6669446
104,"National Chiao Tung University","Taiwan","Asst/Assoc Professor ","Phonetics;Phonology",NA,2015-10-29,TRUE,TRUE,"Hsinchu City",120.9674752,24.8138297
105,"National Chiao Tung University","Taiwan","Full Professor ","Phonetics;Phonology",NA,2015-10-29,TRUE,TRUE,"Hsinchu City",120.9674752,24.8138297
106,"University of Missouri - Columbia","USA","Visiting Professor ","General Linguistics;Phonology;English",2015-12-15,2015-10-29,TRUE,TRUE,"Missouri",-92.2785174,38.9033716
107,"University of Missouri - Columbia","USA","Instructor ","General Linguistics;Phonology;English",2015-12-15,2015-10-29,TRUE,TRUE,"Missouri",-92.2785174,38.9033716
108,"The Hong Kong Institute of Education","Hong Kong","Assistant Professor ","Applied Linguistics;Language Acquisition;Chinese, Mandarin",NA,2015-10-28,TRUE,TRUE,"New Territories",114.193704,22.466416
109,"Nazarbayev University, School of Humanities and Social Sciences","Kazakhstan","Instructor ","Applied Linguistics;Language Acquisition;French;Spanish ",2015-12-01,2015-10-28,TRUE,TRUE,"Astana",71.4703558,51.1605227
110,"University of Arizona","USA","Asst/Assoc Professor ","Applied Linguistics;Sociolinguistics;Anthropological Linguistics;Language Acquisition; Chinese, Mandarin;Korean",2015-12-01,2015-10-28,TRUE,TRUE,"Arizona",-82.4530718,28.067177
111,"University of Rochester","USA","Rank Open ","Computational Linguistics;Data Science",2016-01-15,2015-10-28,TRUE,TRUE,"New York",-77.3783789,42.938004
112,"Employment agency contracting for Google","United Kingdom","Speech Data Evaluator","Computational Linguistics;Phonetics;Phonology",2015-12-11,2015-10-28,TRUE,TRUE,"London",-3.435973,55.378051
113,"Reed College","USA","Assistant Professor ","General Linguistics;Morphology;Semantics;Syntax; Typology;Field Methods",2015-12-15,2015-10-27,TRUE,FALSE,"Oregon",-122.6292054,45.4723343
114,"Reed College","USA","Visiting Professor ","General Linguistics;Morphology;Semantics;Syntax; Typology;Field Methods",2015-12-15,2015-10-27,TRUE,FALSE,"Oregon",-122.6292054,45.4723343
115,"Cardiff University","United Kingdom","Post Doc ","Computational Linguistics;General Linguistics;Text/Corpus Linguistics;Welsh ",2015-11-24,2015-10-27,FALSE,FALSE,"Cardiff",-3.1868361,51.4919075
116,"Amazon.com (Ivona Software)","Poland","Indian English TTS linguist","Computational Linguistics;Phonetics;Phonology;English ",2015-11-30,2015-10-27,FALSE,FALSE,"Gdansk",18.6466384,54.3520252
